position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date
"DEPARTAMENTO DE SALUD MENTAL
",HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 8,000.00",23/09/2024,04/10/2024
"DEPARTAMENTO DE ONCOLOGIA
",HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-001,1,"S/. 9,000.00",23/09/2024,04/10/2024
"PROFESIONAL EN PSICOLOGIA
",UNIDAD DE GESTION EDUCATIVA LOCAL NAZCA,ICA - NAZCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 2,614.19",03/10/2024,17/10/2024
"COORDINADOR DE INNOVACIÓN
",UNIDAD DE GESTION EDUCATIVA LOCAL NAZCA,ICA - MARCONA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 1,464.19",03/10/2024,17/10/2024
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1152,1,"S/. 2,614.19",01/10/2024,15/10/2024
"PROFESIONAL III PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR
",DIRECCION REGIONAL DE EDUCACION ICA,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-013,1,"S/. 2,914.19",01/10/2024,15/10/2024
"PROFESIONAL EN PSICOLOGIA
",DIRECCION REGIONAL DE EDUCACION ICA,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-013,1,"S/. 2,614.19",01/10/2024,15/10/2024
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1156,1,"S/. 2,914.19",01/10/2024,15/10/2024
"PILOTO DE AMBULANCIA
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 1,914.19",26/09/2024,10/10/2024
"MEDICO CIRUJANO
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,5,"S/. 5,314.19",26/09/2024,10/10/2024
"MEDICO RADIOLOGO(A)
",UNIDAD EJECUTORA 401 SALUD CHINCHA PISCO,ICA - CHINCHA ALTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 7,300.00",26/09/2024,10/10/2024
"LICENCIADA(O) EN ENFERMERIA
",UNIDAD EJECUTORA 401 SALUD CHINCHA PISCO,ICA - CHINCHA BAJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 2,900.00",26/09/2024,10/10/2024
"LICENCIADA EN ENFERMERIA
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 3,014.19",26/09/2024,10/10/2024
"COORDINADOR(A) DE INNOVACION Y SOPORTE TECNOLOGICO
",UNIDAD EJECUTORA 303 EDUCACION PISCO,ICA - PISCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,5,"S/. 1,464.19",23/09/2024,04/10/2024
"MEDICO CIRUJANO
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 5,314.19",23/09/2024,04/10/2024
"AGENTE DE CONTROL
",SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-224,1,"S/. 3,000.00",23/09/2024,04/10/2024
"ASISTENTE ADMINISTRATIVO II
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
"ASISTENTE ADMINISTRATIVO II
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
"ASISTENTE ADMINISTRATIVO II
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
"TECNICO ADMINISTRATIVO I
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,084.57",23/09/2024,04/10/2024
"CONTADOR
",UNIDAD EJECUTORA 303 EDUCACION PISCO,ICA - PISCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-015,1,"S/. 2,214.19",23/09/2024,04/10/2024
"QUIMICO FARMACEUTICO
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 5,610.05",23/09/2024,04/10/2024
"ESPECIALISTA EN SALUD AMBIENTAL I
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
"ESPECIALISTA ASISTENTA SOCIAL
",UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0008,1,"S/. 2,400.00",04/10/2024,18/10/2024
"TÉCNICO/A EN ENFERMERÍA
",MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-272,1,"S/. 2,000.00",04/10/2024,18/10/2024
"ANALISTA EN GESTION DEL RIESGO DE DESASTRES
",INSTITUTO NACIONAL DE DEFENSA CIVIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-317,1,"S/. 4,000.00",03/10/2024,17/10/2024
"ASISTENTE ADMINISTRATIVO I
",INSTITUTO NACIONAL DE DEFENSA CIVIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-302,1,"S/. 2,500.00",03/10/2024,17/10/2024
"ANALISTAII (MÉDICO)
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,728-004,1,"S/. 6,931.00",02/10/2024,16/10/2024
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1130,1,"S/. 2,814.19",01/10/2024,15/10/2024
"AUXILIAR EN ARCHIVO
",PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1169,1,"S/. 1,614.19",01/10/2024,15/10/2024
"ASISTENTE JURISDICCIONAL
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 2,572.00",30/09/2024,14/10/2024
"ANALISTA
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-030,1,"S/. 3,722.00",30/09/2024,14/10/2024
"ASESOR LEGAL (CÓDIGO AIRHSP 000831)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-17,1,"S/. 3,000.00",30/09/2024,14/10/2024
"AUXILIAR ADMINISTRATIVO
",DEFENSORIA DEL PUEBLO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-101,1,"S/. 2,800.00",30/09/2024,14/10/2024
"""ESPECIALISTA EN FISCALIZACION DE ASPECTOS OPERACIONALES DE LA OFICINA DESCONCENTRADA DE SERVICIOS (ODS) EN HUANCAVELICA""
",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-255,1,"S/. 9,000.00",30/09/2024,14/10/2024
"ASISTENTE ADMINISTRATIVO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",27/09/2024,11/10/2024
"TRABAJADOR DE SERVICIO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,200.00",27/09/2024,11/10/2024
"LICENCIADO EN ENFERMERIA
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,300.00",27/09/2024,11/10/2024
"MEDICO CIRUJANO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,4,"S/. 5,200.00",27/09/2024,11/10/2024
"BIOLOGO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,900.00",27/09/2024,11/10/2024
"TECNICO EN ENFERMERIA
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 1,500.00",27/09/2024,11/10/2024
"PSICOLOGO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",27/09/2024,11/10/2024
"GESTORES LOCALES PARA LA UNIDAD TERRITORIAL HUANCAVELICA
",PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-233,4,"S/. 2,000.00",26/09/2024,10/10/2024
"TÉCNICO AGROPECUARIO
",PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-005,1,"S/. 3,500.00",26/09/2024,10/10/2024
"ESPECIALISTA EN RECURSOS NATURALES
",PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 6,000.00",26/09/2024,10/10/2024
"COORDINADOR LOCAL DEL PROGRAMA PRESUPUESTAL 068 - PREVAED
",UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0009,1,"S/. 2,500.00",26/09/2024,10/10/2024
"ASISTENTE EN IMPLEMENTACIÓN DEL SISTEMA DE CONTROL INTERNO
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",25/09/2024,09/10/2024
"ALMACENERO
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,400.00",25/09/2024,09/10/2024
"ESPECIALISTA ADMINISTRATIVO
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",25/09/2024,09/10/2024
"ESPECIALISTA ADMINISTRATIVO III (SEACE)
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",25/09/2024,09/10/2024
"JEFE DE ESTADÍSTICA Y INFORMÁTICA
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,800.00",25/09/2024,09/10/2024
"RESPONSABLE DE LA SUB GERENCIA DE SALUD, JUVENTUD, EDUCACIÓN CULTURA Y DEPORTE
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",25/09/2024,09/10/2024
"TÉCNICO EN PROCEDIMIENTO ADMINISTRATIVO DISCIPLINARIO
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,850.00",25/09/2024,09/10/2024
"ASISTENTE EN GESTIÓN ADMINISTRATIVA
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",25/09/2024,09/10/2024
"ASISTENTE ADMINISTRATIVO
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,600.00",25/09/2024,09/10/2024
"APOYO ADMINISTRATIVO
",MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,300.00",25/09/2024,09/10/2024
"ASISTENTE ADMINISTRATIVO
",GERENCIA SUB REGIONAL TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-005,1,"S/. 1,300.00",24/09/2024,07/10/2024
"PROMOTOR SOCIAL (CODIGO AIRHSP - 000810)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 2,200.00",23/09/2024,04/10/2024
"ASISTENTE ADMINISTRATIVO (CODIGO AIRHSP – 000872)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 2,500.00",23/09/2024,04/10/2024
"AUXILIAR ADMINISTRATIVO ( CÓDIGO AIRSHP 000753)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 1,500.00",23/09/2024,04/10/2024
"MADRE SUSTITUTA (CÓDIGO AIRSHP 00885)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 1,900.00",23/09/2024,04/10/2024
"TÉCNICO ADMINISTRATIVO ( CÓDIGO AIRSHP 000843)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 1,700.00",23/09/2024,04/10/2024
"VIGILANTE (CODIGO AIRHSP - 000938)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 1,200.00",23/09/2024,04/10/2024
"INGENIERO CIVIL
",CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-055,1,"S/. 3,900.00",04/10/2024,18/10/2024
"ABOGADO
",CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-054,1,"S/. 3,900.00",04/10/2024,18/10/2024
"ESPECIALISTA EN CONTRATACIONES DEL ESTADO
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-051,1,"S/. 5,500.00",03/10/2024,17/10/2024
"PSICOLOGO
",UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-41,1,"S/. 2,614.19",03/10/2024,17/10/2024
"ESPECIALISTA JUDICIAL DE JUZGADO
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-051,1,"S/. 3,850.00",03/10/2024,17/10/2024
"ASISTENTE DE COMUNICACIONES
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-050,1,"S/. 2,900.00",02/10/2024,16/10/2024
"ABOGADO
",DIRECCION REGIONAL DE EDUCACION DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-033,1,"S/. 3,114.19",02/10/2024,16/10/2024
"ANALISTA LEGAL DE RECURSOS HUMANOS
",GOBIERNO REGIONAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-039,1,"S/. 7,000.00",02/10/2024,16/10/2024
"ANALISTA DE IMAGEN INSTITUCIONAL Y PROTOCOLO
",GOBIERNO REGIONAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-038,1,"S/. 6,000.00",02/10/2024,16/10/2024
"NOTIFICADOR/A
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-050,1,"S/. 3,040.00",02/10/2024,16/10/2024
"ESPECIALISTA JUDICIAL DE JUZGADO
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-049,1,"S/. 3,850.00",02/10/2024,16/10/2024
"SUBINTENDENTE
",SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-228,1,"S/. 8,000.00",02/10/2024,16/10/2024
"EDUCADORES MUSICALES DE LA IMPLEMENTACION DE LA INICIATIVA PEDAGOGICA ORQUESTANDO
",DIRECCION REGIONAL DE EDUCACION DEL CALLAO,CALLAO - BELLAVISTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 2,314.19",02/10/2024,16/10/2024
"NOTIFICADOR/A
",UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-050,2,"S/. 3,040.00",02/10/2024,16/10/2024
"DOCENTE RESPONSABLE DE NÚCLEO DE LA INICIATIVA PEDAGÓGICA TALLERES DEPORTIVO-RECREATIVOS - WIÑAQ.
",DIRECCION REGIONAL DE EDUCACION DEL CALLAO,CALLAO - BELLAVISTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 3,114.19",02/10/2024,16/10/2024
"ESPECIALISTA DE CONVIVENCIA ESCOLAR REGIONAL
",DIRECCION REGIONAL DE EDUCACION DEL CALLAO,CALLAO - BELLAVISTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 3,914.19",01/10/2024,15/10/2024
"ESPECIALISTA EN NUTRICION
",PROGRAMA NACIONAL CUNA MAS,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1179,1,"S/. 2,914.19",01/10/2024,15/10/2024
"ASISTENTE DE ESTUDIOS Y PROYECTOS DE INFRAESTRUCTURA  PORTUARIA 2
",AUTORIDAD PORTUARIA NACIONAL,CALLAO - LA PERLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-069,1,"S/. 4,500.00",01/10/2024,15/10/2024
"PSICOLOGO
",DIRECCION REGIONAL DE EDUCACION DEL CALLAO,CALLAO - BELLAVISTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,2,"S/. 2,614.19",01/10/2024,15/10/2024
"TECNICO(A) EN ENFERMERIA
",OFICINA REGIONAL LIMA - INPE,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-028,1,"S/. 2,154.19",01/10/2024,15/10/2024
"ORIENTADOR(A) DE ATENCIÓN AL USUARIO
",SUPERINTENDENCIA NACIONAL DE MIGRACIONES - MIGRACIONES,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-436,1,"S/. 2,000.00",01/10/2024,15/10/2024
"ABOGADO
",PROGRAMA NACIONAL CUNA MAS,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1162,1,"S/. 3,814.19",01/10/2024,15/10/2024
"COORDINADOR(A) INNOVACIÓN Y SOPORTE TECNOLÓGICO ( CIST)
",DIRECCION REGIONAL DE EDUCACION DEL CALLAO,CALLAO - BELLAVISTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-30,3,"S/. 1,464.19",01/10/2024,15/10/2024
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1154,1,"S/. 1,154.00",01/10/2024,15/10/2024
