position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
"TRABAJADOR DE SERVICIO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,200.00",27/09/2024,11/10/2024,34f33462-3f52-408e-86da-3e35dbba677b
"TECNICO EN ENFERMERIA
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 1,500.00",27/09/2024,11/10/2024,5741c108-f0de-4d5e-8ecd-79b3071ec9ac
"BIOLOGO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,900.00",27/09/2024,11/10/2024,e7c4c5c5-2fa3-48d5-b368-49182b0872c7
"ASISTENTE ADMINISTRATIVO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",27/09/2024,11/10/2024,a13c59f4-d1de-4989-afc1-452a2fa379f8
"PSICOLOGO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",27/09/2024,11/10/2024,5db1806c-f32b-4cda-8f37-b518b80dabad
"ASISTENTE JUDICIAL
",PODER JUDICIAL,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 4,000.00",11/10/2024,24/10/2024,73107a0a-4fef-40ca-aec2-fd9da4c85579
"ASISTENTE ADMINISTRATIVO EN TESORERIA
",MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",11/10/2024,24/10/2024,fdefba0f-9200-4d4b-9ab8-d6dd9437fab8
"ASISTENTE DE CONTRATACION DE BIENES Y SERVICIOS
",MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,800.00",11/10/2024,24/10/2024,2f87823d-d52a-47c9-81e6-c1f20b9db24c
"RESPONSABLE DE CONTROL PATRIMONIAL
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 3,500.00",10/10/2024,23/10/2024,abb88e5b-b160-4716-bc0f-23ff505cf0c1
"GESTOR LOCAL PARA LA UNIDAD TERRITORIAL AMAZONAS BAGUA
",PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-245,1,"S/. 2,000.00",10/10/2024,23/10/2024,4f542828-ffdb-4ae0-b9f0-df7fe40f72f9
"GERENTE DE INSTITUTO VIAL PROVINCIAL.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,100.00",07/10/2024,21/10/2024,c083f670-6794-4007-a6b0-0ae5f65b8fe8
"AUXILIAR DE ABASTECIMIENTO
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,800.00",07/10/2024,21/10/2024,fac68992-0035-426a-89d2-e3941fce1b5c
"ESPECIALISTA DE CONTABILIDAD
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,245d8f6c-2fe1-4c5e-a131-cc3b07672b95
"FISCALIZADOR.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",07/10/2024,21/10/2024,565e0764-9a5a-4977-93a4-5c5a07ad5833
"JEFE DE OFICINA DE TECNOLOGIA DE LA INFORMACIÓN.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,e1c68919-a033-4ffb-8e6e-910eb1127021
"TÉCNICO ADMINISTRATIVO DE ALMACÉN
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",07/10/2024,21/10/2024,e52e7ac0-8803-478f-a47c-2d37670f592d
"COTIZADOR
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,78c0b402-1423-47a8-af2c-1c660df173e6
"TECNICO ADMINISTRATIVO III
",UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-13,1,"S/. 2,088.45",04/10/2024,18/10/2024,4081249b-b379-4070-8e7d-e2245f36de5f
"ANALISTA EN GESTION DE RIESGO DE DESASTRES
",INSTITUTO NACIONAL DE DEFENSA CIVIL,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-311,1,"S/. 4,000.00",03/10/2024,17/10/2024,8504ffdd-b07f-4fba-8418-59037a962b71
"ASISTENTE ADMINISTRATIVO DEL CENTRO DE ATENCIÓN AL CIUDADANO DE AMAZONAS
","MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-423,1,"S/. 3,000.00",01/10/2024,15/10/2024,9ca72b4f-0d43-44d9-a1d9-9d2d8a51fbb7
"GESTORES LOCALES PARA LA UNIDAD TERRITORIAL AMAZONAS CONDORCANQUI
",PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-236,3,"S/. 2,000.00",01/10/2024,15/10/2024,156d5b90-a6fc-4465-947f-2b11375ad8ce
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - JUMBILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1148,1,"S/. 3,014.19",01/10/2024,15/10/2024,7fc1e850-2acb-48e4-8b82-4e30b8ee7033
"TECNICO EN INFRAESTRUCTURA
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1183,1,"S/. 4,114.19",01/10/2024,15/10/2024,11466c83-4b10-4ae1-91ba-b4a8799a7623
"APOYO ADMINISTRATIVO TECNICO EN LA GERENCIA DE INFRAESTRUCTURA Y DESARROLLO TERRITORIAL
",MUNICIPALIDAD DISTRITAL DE OMIA,AMAZONAS - OMIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,500.00",01/10/2024,15/10/2024,07e25a6f-910f-4518-a5a8-d6955b4bcab5
"ESPECIALISTA EN EQUIPAMIENTO
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1177,1,"S/. 3,514.19",01/10/2024,15/10/2024,f4de9177-d438-4945-a58f-0d4d6e797197
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) AUXILIAR MONITOR DE RESIDENCIA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN AMAZONAS - SUPLENCIA TEMPORAL (007069)
",MINISTERIO DE EDUCACION,AMAZONAS - LAMUD,D.LEG 1057 - DETERMINADO (SUPLENCIA)-775,1,"S/. 2,500.00",27/09/2024,11/10/2024,8f68e92f-b81e-464b-85fe-b3f0b054d0a7
"PERSONAL DE MANTENIMIENTO
",UNIDAD DE GESTION EDUCATIVA LOCAL DE AYMARAES,APURIMAC - TINTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,264.19",11/10/2024,24/10/2024,05368013-0539-4270-8b98-07087c908254
"ESPECIALISTA EN ABASTECIMIENTO
",UNIDAD DE GESTION EDUCATIVA LOCAL DE AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,114.19",11/10/2024,24/10/2024,52d9bca3-133c-4c17-b087-05ff700a9a90
"ABOGADO CERTIFICADOR
",ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ANCO_HUALLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,1,"S/. 3,000.00",10/10/2024,23/10/2024,a14328cf-e9c7-4b68-be4d-3081057df140
"ANALISTA REGISTRAL
",ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,1,"S/. 3,000.00",10/10/2024,23/10/2024,c711a786-ddc3-4f2b-a5c7-e103199f821b
"ABOGADO CERTIFICADOR
",ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-27,1,"S/. 3,000.00",10/10/2024,23/10/2024,df85cd3b-76b3-420a-a513-8322c7f5b2cb
"ARQUEOLOGO/A
",MINISTERIO DE CULTURA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-218,1,"S/. 2,514.19",09/10/2024,22/10/2024,ee8817d5-c61d-4177-8fad-9568325389ec
"COORDINADOR LOCAL: CHINCHEROS
",DIREC. REGIONAL DE EDUCACION DE APURIMAC,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 3,414.19",04/10/2024,18/10/2024,a1ec0284-4a71-4034-a530-5aa839390ccc
"ESPECIALISTA JUDICIAL DE JUZGADO
",PODER JUDICIAL,APURIMAC - COTABAMBAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,c5bf220a-64cd-47a5-9e0d-ab76f6d6c17a
"AGENTE DE SEGURIDAD (CHOFER)
",PODER JUDICIAL,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,fe641aa6-5338-4163-bb40-32a74d38abdc
"ESPECIALISTA JUDICIAL DE JUZGADO
",PODER JUDICIAL,APURIMAC - ANTABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,c23a5cbb-4714-491a-9926-1d95a75c5d58
"ESPECIALISTA JUDICIAL DE AUDIENCIA
",PODER JUDICIAL,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,cf857b9c-0267-417d-a0f4-0ba277fd551d
"ESPECIALISTA JUDICIAL DE JUZGADO
",PODER JUDICIAL,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,0494a389-bb85-49f6-b613-d4a43709aa63
"SECRETARIA/O EJECUTIVA
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,414.19",03/10/2024,17/10/2024,a1f976da-5eb1-4cf8-b679-a289451aa5b1
"ANALISTA EN CONTRATACIONES
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,614.19",03/10/2024,17/10/2024,faecaa48-a841-44a7-bcd7-2b78da2879ed
"ASISTENTE DE CONTABILIDAD
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,614.19",03/10/2024,17/10/2024,5f7b58f8-8f97-4842-b62c-2aafc6e0725d
"MEDICO ESPECIALISTA EN GINECOLOGIA
",UNIDAD EJECUTORA DE LA RED DE SALUD COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 7,300.00",02/10/2024,16/10/2024,8d34c25d-e189-4e4b-8993-a2bc779b543a
"PSICÓLOGO (A)
",UNIDAD DE GESTION EDUCATIVA LOCAL GRAU,APURIMAC - VILCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 2,614.19",02/10/2024,16/10/2024,98b173d3-494d-4dca-aa22-a236c5b82c0e
"TÉCNICO EN SISTEMAS
",ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL - COFOPRI,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-283,1,"S/. 1,800.00",02/10/2024,16/10/2024,5e8224ba-501f-4f39-ad00-dd8516877e2c
"MEDICO ESPECIALISTA EN ANESTESIOLOGIA
",UNIDAD EJECUTORA DE LA RED DE SALUD COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 7,300.00",02/10/2024,16/10/2024,da4c4dc1-f432-42c1-bcf7-b0582d43cb3a
"OPERADOR EN CONDUCCIÓN VEHICULAR
",ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL - COFOPRI,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-272,1,"S/. 2,200.00",02/10/2024,16/10/2024,c864b070-0db8-4b33-aa7d-a5009a963059
"MEDICO ESPECIALISTA EN PEDIATRIA
",UNIDAD EJECUTORA DE LA RED DE SALUD COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 7,300.00",02/10/2024,16/10/2024,b521c743-184b-4457-9435-53dea2e5c01a
"PROFESIONAL NO DOCENTE PARA EL SOPORTE Y ASESORAMIENTO A IIEE INCLUSIVAS
",UNIDAD DE GESTION EDUCATIVA LOCAL GRAU,APURIMAC - CHUQUIBAMBILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 2,814.19",02/10/2024,16/10/2024,d7759473-06c5-447b-9db6-40abea3cf8ed
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - COTABAMBAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1144,1,"S/. 3,014.19",01/10/2024,15/10/2024,9ef846bf-29db-4364-8c7c-f72cf071f60a
"AUXILIAR ADMINISTRATIVO - AUXILIAR II (SUPLENCIA POR LICENCIA)
",ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL - OEFA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-138,1,"S/. 2,500.00",01/10/2024,15/10/2024,e181f77b-6062-4bc9-bd62-13d752caa05c
"AUXILIAR EN ARCHIVO
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1164,1,"S/. 1,614.19",01/10/2024,15/10/2024,77c1b87b-9153-4081-8375-b84a82c97f6b
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1139,1,"S/. 2,914.19",01/10/2024,15/10/2024,fae9d508-27a4-4b82-a1ec-d2e6aa6c7646
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1129,1,"S/. 3,014.19",01/10/2024,15/10/2024,be69b229-dbb0-488b-aeb2-27b01d0c79b7
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1137,1,"S/. 2,614.19",01/10/2024,15/10/2024,9a1590fe-f3df-4511-8973-aedde3b36e69
"ASISTENTE LEGAL PARA LA SUB GERENCIA DE TRANSPORTE Y SEGURIDAD VIAL
",MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",27/09/2024,11/10/2024,78852e7f-322a-4fb9-9d55-86ef69144929
"REGISTRADOR PUBLICO
",SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS,ICA - ICA,728-002,1,"S/. 6,900.00",11/10/2024,24/10/2024,c5799295-69b3-4f07-b491-60785c78d452
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIO DE UN(A) DOCENTE PARA LA ENSEÑANZA DE ASIGNATURA DE TEORÍA DEL CONOCIMIENTO PARA EL COLEGIO DE ALTO RENDIMIENTO DE REGIÓN ICA - PLAZO DETERMINADO (008651)
",MINISTERIO DE EDUCACION,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-829,1,"S/. 4,500.00",11/10/2024,24/10/2024,881663b6-b3f3-45bc-8a64-6e647a2852a5
"PERSONAL DE ATENCIÓN PERMANENTE
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,7,"S/. 2,000.00",11/10/2024,24/10/2024,931ffa10-92aa-4d73-857a-d2ce84ab7c8e
"TRABAJADOR(A) SOCIAL
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,1,"S/. 3,500.00",11/10/2024,24/10/2024,655f4915-ac0e-4f07-af52-75baf0ba716f
