position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
"TECNICO ADMINISTRATIVO III
",UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-13,1,"S/. 2,468.16",04/10/2024,18/10/2024,f29b1d97-8d8c-4b37-b6e7-77a71b6b41a5
"ANALISTA EN GESTION DE RIESGO DE DESASTRES
",INSTITUTO NACIONAL DE DEFENSA CIVIL,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-311,1,"S/. 4,000.00",03/10/2024,17/10/2024,337c664b-992b-4df4-8610-e598ec06d210
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - JUMBILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1148,1,"S/. 3,014.19",01/10/2024,15/10/2024,cb36eeed-03eb-43e4-a8c8-03f0de33fd61
"ASISTENTE ADMINISTRATIVO DEL CENTRO DE ATENCIÓN AL CIUDADANO DE AMAZONAS
","MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-423,1,"S/. 3,000.00",01/10/2024,15/10/2024,176b0b61-ff5b-45ed-8f92-b383d1d50f40
"APOYO ADMINISTRATIVO TECNICO EN LA GERENCIA DE INFRAESTRUCTURA Y DESARROLLO TERRITORIAL
",MUNICIPALIDAD DISTRITAL DE OMIA,AMAZONAS - OMIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,500.00",01/10/2024,15/10/2024,739a2ab4-f453-440c-a997-f6f3e3787494
"TECNICO EN INFRAESTRUCTURA
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1183,1,"S/. 4,114.19",01/10/2024,15/10/2024,c2168204-d969-45ab-a980-257bb4a72a02
"ESPECIALISTA EN EQUIPAMIENTO
",PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1177,1,"S/. 3,514.19",01/10/2024,15/10/2024,5849ee6e-b815-46cf-97bd-0a79e5099d03
"GESTORES LOCALES PARA LA UNIDAD TERRITORIAL AMAZONAS CONDORCANQUI
",PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-236,3,"S/. 2,000.00",01/10/2024,15/10/2024,23e2cbb5-2d00-4175-8ab1-eddbbdd03716
"SUPERVISOR DE CONSERVACION Y SERVICIOS II
",UNIDAD DE GESTION EDUCATIVA LOCAL HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-10,1,S/. 965.67,11/10/2024,24/10/2024,337b8ffd-c4f6-4b4e-a292-a7579f1561b2
"ESPECIALISTA ADMINISTRATIVO
",GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-23,1,"S/. 2,114.19",11/10/2024,24/10/2024,971a3c3c-2ae6-4d1d-b839-ea3eaab5f99c
"DEFENSOR PÚBLICO EN EL NUEVO CÓDIGO PROCESAL PENAL
",MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-888,1,"S/. 5,114.19",11/10/2024,24/10/2024,2b14d3d2-8267-48dd-a3f3-04ca3936f5a4
"TÉCNICA EN ENFERMERÍA
",GERENCIA SUB REGIONAL HUAYTARA,HUANCAVELICA - HUAYTARA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-9,1,"S/. 1,800.00",10/10/2024,23/10/2024,73ef5b3b-4322-4df9-b51a-ad4595fa5184
"ENFERMERA/O
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,900.00",07/10/2024,21/10/2024,147b201b-b9c2-4f19-a301-1ca049bf1404
"RESPONSABLE DE CONTABILIDAD
",MUNICIPALIDAD PROVINCIAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 2,800.00",07/10/2024,21/10/2024,c1df7142-c3a7-409a-91ee-d6cb5cc2ab2f
"ESPECIALISTA EN SIAF SIGA - LOGISTICA
",MUNICIPALIDAD PROVINCIAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 1,700.00",07/10/2024,21/10/2024,aa8b8310-4b29-499a-b119-301e9a7e287f
"MEDICO CIRUJANO
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 5,200.00",07/10/2024,21/10/2024,a7555272-6b16-4eda-a1b6-1634a6ccc641
"TECNICO EN LABORATORIO
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 1,800.00",07/10/2024,21/10/2024,6543c21d-4f48-408c-93c1-f00d8b22d06f
"ENFERMERA/O
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - MARCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,300.00",07/10/2024,21/10/2024,c9130029-d75c-4074-a214-e0317c64f48e
"CIRUJANO DENTISTA
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,300.00",07/10/2024,21/10/2024,65b3c357-9b4a-4907-8a70-58505a51e31e
"ESPECIALISTA ASISTENTA SOCIAL
",UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0008,1,"S/. 2,400.00",04/10/2024,18/10/2024,231e8a2a-beb3-48f1-9b3e-9850948df076
"TÉCNICO/A EN ENFERMERÍA
",MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-272,1,"S/. 2,000.00",04/10/2024,18/10/2024,a1ea8584-89ad-41c0-92f2-99b089dd6fbe
"ANALISTA EN GESTION DEL RIESGO DE DESASTRES
",INSTITUTO NACIONAL DE DEFENSA CIVIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-317,1,"S/. 4,000.00",03/10/2024,17/10/2024,b94ee883-4dc1-473c-82cf-7749ca4574ab
"ASISTENTE ADMINISTRATIVO I
",INSTITUTO NACIONAL DE DEFENSA CIVIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-302,1,"S/. 2,500.00",03/10/2024,17/10/2024,46b2bc85-47fa-48cb-8856-84852e199dd7
"ANALISTAII (MÉDICO)
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,728-004,1,"S/. 6,931.00",02/10/2024,16/10/2024,efb4f818-c611-402f-856a-ed153c1e8aea
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1130,1,"S/. 2,814.19",01/10/2024,15/10/2024,fc02515a-0950-4ed9-a5eb-37833ca6dfed
"AUXILIAR EN ARCHIVO
",PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1169,1,"S/. 1,614.19",01/10/2024,15/10/2024,a07f9ac8-1fc0-4cad-9466-5ffd89386c61
"ANALISTA
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-030,1,"S/. 3,722.00",30/09/2024,14/10/2024,7cd6539a-fbcb-4984-b611-b9f884e2b899
"AUXILIAR ADMINISTRATIVO
",DEFENSORIA DEL PUEBLO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-101,1,"S/. 2,800.00",30/09/2024,14/10/2024,173622fe-9a84-40bc-8063-7c36cb69844e
"""ESPECIALISTA EN FISCALIZACION DE ASPECTOS OPERACIONALES DE LA OFICINA DESCONCENTRADA DE SERVICIOS (ODS) EN HUANCAVELICA""
",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-255,1,"S/. 9,000.00",30/09/2024,14/10/2024,66d5342c-2b4e-42c6-8ce0-0274538174ce
"ASISTENTE JURISDICCIONAL
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 2,572.00",30/09/2024,14/10/2024,6ef4ec20-3e10-44aa-9f3f-68e2f17e4a19
"ASESOR LEGAL (CÓDIGO AIRHSP 000831)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-17,1,"S/. 3,000.00",30/09/2024,14/10/2024,0469777e-bf9b-43a6-ba70-26d94f5bbd88
"PERSONAL DE MANTENIMIENTO
",UNIDAD DE GESTION EDUCATIVA LOCAL DE AYMARAES,APURIMAC - TINTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,264.19",11/10/2024,24/10/2024,ef6c81f7-487a-451b-a201-ad39b40df324
"ESPECIALISTA EN ABASTECIMIENTO
",UNIDAD DE GESTION EDUCATIVA LOCAL DE AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,114.19",11/10/2024,24/10/2024,f1ea587e-4d0f-4454-a4d9-16196367a974
"ABOGADO CERTIFICADOR
",ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ANCO_HUALLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,1,"S/. 3,000.00",10/10/2024,23/10/2024,3cf8d9b3-6f27-4665-8470-f81633efef7f
"ANALISTA REGISTRAL
",ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,1,"S/. 3,000.00",10/10/2024,23/10/2024,daa4502c-b8e0-4534-bfb1-ce400775ba2f
"ABOGADO CERTIFICADOR
",ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-27,1,"S/. 3,000.00",10/10/2024,23/10/2024,2aa8c6b1-8c49-4c4c-98df-af124e1c3b8c
"ARQUEOLOGO/A
",MINISTERIO DE CULTURA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-218,1,"S/. 2,514.19",09/10/2024,22/10/2024,e9009678-bc4a-4eab-bda4-a903993e53e6
"AGENTE DE SEGURIDAD (CHOFER)
",PODER JUDICIAL,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,b473cc20-4699-4079-92df-1cad2b8219e2
"COORDINADOR LOCAL: CHINCHEROS
",DIREC. REGIONAL DE EDUCACION DE APURIMAC,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 3,414.19",04/10/2024,18/10/2024,fe9f9ab4-9569-4345-a965-594455966293
"ESPECIALISTA JUDICIAL DE JUZGADO
",PODER JUDICIAL,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,baa943df-c9ce-4056-a961-bc32a0b8a101
"ESPECIALISTA JUDICIAL DE JUZGADO
",PODER JUDICIAL,APURIMAC - COTABAMBAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,134f04a4-61c4-4faa-a8b5-2a6c77246c38
"ESPECIALISTA JUDICIAL DE JUZGADO
",PODER JUDICIAL,APURIMAC - ANTABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,0133fa9b-19e5-4876-b918-e6e307b98c96
"ESPECIALISTA JUDICIAL DE AUDIENCIA
",PODER JUDICIAL,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,972.00",04/10/2024,18/10/2024,78bd5930-bff4-450f-86dd-826e137267bc
"ANALISTA EN CONTRATACIONES
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,614.19",03/10/2024,17/10/2024,3ab44966-531d-4c73-a5c3-336ce50760ae
"SECRETARIA/O EJECUTIVA
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,414.19",03/10/2024,17/10/2024,f1fb8558-2700-4afd-9279-d4aa5b0bb8a9
"ASISTENTE DE CONTABILIDAD
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,614.19",03/10/2024,17/10/2024,52aad661-778c-4edf-bcd3-5221c4c97c29
"PSICÓLOGO (A)
",UNIDAD DE GESTION EDUCATIVA LOCAL GRAU,APURIMAC - VILCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 2,614.19",02/10/2024,16/10/2024,0d531242-51d3-41b7-b69f-d711eac6167a
"TÉCNICO EN SISTEMAS
",ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL - COFOPRI,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-283,1,"S/. 1,800.00",02/10/2024,16/10/2024,f7a2434b-d942-4d9c-b8fe-04880d62d298
"OPERADOR EN CONDUCCIÓN VEHICULAR
",ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL - COFOPRI,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-272,1,"S/. 2,200.00",02/10/2024,16/10/2024,0324fa3a-d9ee-4030-885e-1462c5ed5464
"MEDICO ESPECIALISTA EN ANESTESIOLOGIA
",UNIDAD EJECUTORA DE LA RED DE SALUD COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 7,300.00",02/10/2024,16/10/2024,f0ecbd87-bdf3-4f03-98ac-062f03660781
"MEDICO ESPECIALISTA EN GINECOLOGIA
",UNIDAD EJECUTORA DE LA RED DE SALUD COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 7,300.00",02/10/2024,16/10/2024,ab73560d-5bec-43da-90a2-c9cadc1b8303
"MEDICO ESPECIALISTA EN PEDIATRIA
",UNIDAD EJECUTORA DE LA RED DE SALUD COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 7,300.00",02/10/2024,16/10/2024,a91ddde7-2147-4e77-bec1-a404212ecb93
"PROFESIONAL NO DOCENTE PARA EL SOPORTE Y ASESORAMIENTO A IIEE INCLUSIVAS
",UNIDAD DE GESTION EDUCATIVA LOCAL GRAU,APURIMAC - CHUQUIBAMBILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 2,814.19",02/10/2024,16/10/2024,ab88a6d9-386f-42c8-8f7b-f72036c1353a
"AUXILIAR ADMINISTRATIVO - AUXILIAR II (SUPLENCIA POR LICENCIA)
",ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL - OEFA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-138,1,"S/. 2,500.00",01/10/2024,15/10/2024,d04eaeea-ee0c-489b-a2f2-4b01db130e08
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - COTABAMBAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1144,1,"S/. 3,014.19",01/10/2024,15/10/2024,241e8c64-30ce-4885-b8ae-55c641dc7b87
"AUXILIAR EN ARCHIVO
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1164,1,"S/. 1,614.19",01/10/2024,15/10/2024,4203a3a7-a96b-4d86-adaf-090e45aeae8a
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1139,1,"S/. 2,914.19",01/10/2024,15/10/2024,46960c2d-505f-4da5-ac01-0b07b7757db3
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1129,1,"S/. 3,014.19",01/10/2024,15/10/2024,7a415776-aa0e-45e3-b3cb-671046e72a63
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1137,1,"S/. 2,614.19",01/10/2024,15/10/2024,4d86630c-ab32-48b0-a947-3b0d1ff4d5f3
"REGISTRADOR PUBLICO
",SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS,ICA - ICA,728-002,1,"S/. 6,900.00",11/10/2024,24/10/2024,c7d65640-fed7-4ccc-a6a0-1080ee040ca5
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIO DE UN(A) DOCENTE PARA LA ENSEÑANZA DE ASIGNATURA DE TEORÍA DEL CONOCIMIENTO PARA EL COLEGIO DE ALTO RENDIMIENTO DE REGIÓN ICA - PLAZO DETERMINADO (008651)
",MINISTERIO DE EDUCACION,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-829,1,"S/. 4,500.00",11/10/2024,24/10/2024,ea5036c3-94f1-4b33-bade-af325d6e1e61
"PERSONAL DE ATENCIÓN PERMANENTE
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,7,"S/. 2,000.00",11/10/2024,24/10/2024,daf75b44-ca80-4ba5-a124-8679d2012737
"TRABAJADOR(A) SOCIAL
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,1,"S/. 3,500.00",11/10/2024,24/10/2024,353d9d21-1d46-4e04-b5dd-986320e3ba43
"CONDUCTOR DE VEHICULOS
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ALTO LARAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,1,"S/. 1,800.00",11/10/2024,24/10/2024,d95d15d5-ee45-45df-ace5-2b9349e0527a
"PERSONAL DE ATENCION PERMANENTE
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ALTO LARAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,9,"S/. 2,000.00",11/10/2024,24/10/2024,5b47ad89-ea91-4930-9b6e-74057893dc99
"TRABAJADOR(A) SOCIAL
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ALTO LARAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-260,1,"S/. 3,500.00",11/10/2024,24/10/2024,a29a817c-c8f3-4e16-9a27-9c71296798af
"ABOGADO DE LA UNIDAD DE ASESORIA JURIDICA (SUPLENCIA)
",ZONA REGISTRAL NRO XI SEDE ICA,ICA - ICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-007,1,"S/. 3,000.00",11/10/2024,24/10/2024,e1616752-4fd7-41af-92d0-2193ae315f72
"ESPECIALISTA EN BASE GRAFICA REGISTRAL (SUPLENCIA)
",ZONA REGISTRAL NRO XI SEDE ICA,ICA - ICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 3,000.00",10/10/2024,23/10/2024,d7353630-1795-4085-868c-f9588b6aa328
"ESPECIALISTA JUDICIAL
",PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-012,5,"S/. 4,750.00",10/10/2024,23/10/2024,f51e6614-403d-4bd2-b694-dbfd32224eae
"ESPECIALISTA JUDICIAL DE AUDIENCIA
",PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-011,1,"S/. 2,972.00",10/10/2024,23/10/2024,4e73633a-bb32-434b-b48a-23ddbf4b2e0a
"ESPECIALISTA JUDICIAL DE AUDIENCIAS
",PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-012,5,"S/. 4,750.00",10/10/2024,23/10/2024,84cb5f82-99d1-47f8-b331-2348d75fe874
"ASISTENTE DE CUSTODIA Y GRABACIÓN
",PODER JUDICIAL,ICA - ICA,SERUM LEY 23330-012,3,"S/. 4,000.00",10/10/2024,23/10/2024,708d7da3-52bc-4681-a3bd-214d21be94d9
"ENFERMERA/O
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ALTO LARAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-259,1,"S/. 3,000.00",09/10/2024,22/10/2024,b59c683b-c42b-40c3-a467-3d942e640a72
"ASISTENTE DE TUTORÍA
",PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,ICA - ALTO LARAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-259,1,"S/. 2,000.00",09/10/2024,22/10/2024,47ea36e1-ba2c-495f-9fce-101276cac9fc
